Rest_id,Rest_name,Cuisines,CFT,Locality,Total_Orders,Late_Night_Orders,Priority,Zomato_Ratings,Zomato_total_votes
28561,Goli Vada Pav No. 1,"North Indian,Desserts,Beverages",56,HSR,73,-,P3,-,-
28562,Bandra Biryani Corner,Biryani,150,Turner Road,21,2,P3,-,-
28563,G Express,"North Indian,Chinese,Mughlai",350,Shivar Garden,4,-,P3,-,-
28564,Solkadi Hotel,Seafood,300,ShriNagar,45,1,P3,-,-
28565,Punjabi Samosawala,"North Indian,Fast Food,Sushi,Street Food",250,Jalaram Market,112,-,P4,-,-
28566,TNP Dum Biryani,"North Indian,Chinese,Biryani",450,Hyde Park,58,-,P2,-,-
28567,New Khalsa Punjab,"North Indian,Chinese,Mughlai",450,Mahul Road,19,-,P4,-,-
28568,Gupta snacks Corner,Fast Food,100,Sector 21,123,-,P2,-,-
28569,Royal Punjab,"North Indian,Chinese",450,Sector 21,95,-,P1,-,-
28570,Royal Treat,"North Indian,Chinese,Biryani,Seafood",400,5th block Koramangala,108,-,P2,-,-
28571,Me So Hungry,North Indian,150,Azad Nagar,35,17,P6,-,-
28572,Pitchfork,"Salads,European,Asian",700,Pali Hill,58,-,P4,-,-
28573,Bite Box,Fast Food,300,Near Bhavans College,11,-,P3,-,-
28574,InnerChef,"North Indian,Desserts,Continental,Mediterranean,South Indian,Beverages",500,Lado Sarai,168,-,-,-,-
28575,InnerChef,"North Indian,Desserts,Continental,Mediterranean,South Indian,Beverages",500,Rajouri Garden,33,-,-,-,-
28576,InnerChef,"North Indian,Desserts,Continental,Mediterranean,South Indian,Beverages",500,Sector 4,216,-,-,-,-
28577,InnerChef,"North Indian,Desserts,Continental,Mediterranean,South Indian,Beverages",500,Marathahalli,238,-,-,-,-
28578,InnerChef,"North Indian,Desserts,Continental,Mediterranean,South Indian,Beverages",500,7th block,197,-,-,-,-
28579,InnerChef,"North Indian,Desserts,Continental,Mediterranean,South Indian,Beverages",500,2nd stage,320,-,-,-,-
28580,InnerChef,"North Indian,Desserts,Continental,Mediterranean,South Indian,Beverages",500,Sarjapur main road,352,-,-,-,-
28581,Keventers,Beverages,400,Commercial street,397,3,-,-,-
28582,Keventers,Beverages,400,JMC Road,706,84,-,-,-
28583,Keventers,Beverages,400,RMV 2nd stage,380,-,-,-,-
28584,Mother India,"North Indian,South Indian",1400,Connaught Place,3,-,P3,-,-
28594,Early Birds,"Cafe,Chinese,Mediterranean,Italian",300,Opp. Indian Oil Building,154,-,P3,-,-
28598,Picardo's,"Desserts,Fast Food,Bakery",150,Kanjur Marg,1,-,P3,-,-
28600,Hot Box Treat,Indian,500,New Satara CHS Ltd,20,-,P4,-,-
28602,Kusum Rolls,Mughlai,150,Mira-Bhyandar Road,9,-,P1,-,-
28603,Yummy N Tummy,Fast Food,150,Sector 19,18,-,P3,-,-
28604,Chillizzz,"North Indian,Chinese",400,Bhandup,4,-,P3,-,-
28606,Lassi Shop,"Desserts,Fast Food,Beverages",200,50Ft main Road,195,-,P2,-,-
28607,Chefactory,"North Indian,Beverages,Biryani,Fast Food",400,Marathahalli,106,-,P1,-,-
28608,Imperio Restaurant,"North Indian,Chinese,Biryani,South Indian,Beverages",500,Brookbond,698,88,P2,-,-
28609,Swathi Deluxe,"North Indian,Biryani,Seafood,Mughlai",400,Kadubeesanahalli,340,-,P2,-,-
28610,Tabla,"North Indian,Chinese,Andhra,Biryani,Chettinad,Desserts,South Indian,Seafood,Beverages,Coastal,Tandoor",800,Marathahalli,44,-,P1,-,-
28612,Chaska Express,"North Indian,Chinese,South Indian",400,Ashok Vihar phase 3,32,-,P1,-,-
28613,"V 'n' F, Vadapav 'n' Frankie",Street Food,150,Shalimar Bagh,14,-,P2,-,-
28614,Nando's,Portuguese,1200,DLF Mall,35,-,-,-,-
28615,Grill Inn,Fast Food,500,Near Andheri East Station,93,-,P4,-,-
28616,Classic Surprise The Cake Shop,"Desserts,Bakery",250,Opposite Universal High School,16,1,P6,-,-
28617,Ice Cream Works,"Desserts,Ice Cream",300,"Superior Micron Hights, Sector 7",30,3,P6,-,-
28618,Fusion Tadka,"North Indian,Chinese,Biryani,Seafood,Thai,Healthy Food",400,Khar Danda,72,8,P4,-,-
28619,The Waffle Factory,"Desserts,Beverages",200,R- Odean Mall,90,13,P1,-,-
28620,Tastiees Burgers and Wraps,Fast Food,200,Ashokvan,52,-,P4,-,-
28621,Niche Cafe,"Mediterranean,Continental",800,Ashokh Van,6,1,P2,-,-
28622,Classic Pure Veg,"North Indian,Chinese",800,Ashokh Van,17,-,P2,-,-
28623,Piku Chiku,Fast Food,500,Zaveri Bazar,33,-,P4,-,-
28623,PIKU CHIKU (JAIN FOOD SPECIALIST),Fast Food,500,Zaveri Bazar,41,-,P4,-,-
28624,Dharma's Sandwich,Fast Food,150,Near Sanjay Gandhi National Park,210,-,P1,-,-
28625,Guruprasad Pure Veg,North Indian,300,OPP MAZGAON DOCKS,5,-,P3,-,-
28626,Desi Munch,Fast Food,400,MHADA Shopping Center,42,-,P3,-,-
28627,CFB Fresh Delight,"Desserts,Bakery",300,off JVLR,17,-,P3,-,-
28629,Kailash Sweets,Sweets,300,opp sewri bus stop,6,-,P3,-,-
28630,Lotus Blossom,Thai,600,D S Marg,3,-,P3,-,-
28631,Chopstix,Chinese,350,Sector 3,16,-,P3,-,-
28632,Burgers & More,Fast Food,250,Next to Dmart,45,-,P3,-,-
28634,Nandan Coffee,"Desserts,Cafe",500,Senapati Bapat Marg,1,-,P3,-,-
28638,Al-Baaqee,"North Indian,Chinese,Biryani,South Indian,Seafood,Indian,Grill,Tandoor,Kebabs",300,Perumbakkam Church,98,-,P2,-,-
28639,Cafe Blossom,"Italian,Cafe",400,RK Salai,133,-,P2,-,-
